CONAPO,entidad,cve,municipio
1,Aguascalientes,1001,Aguascalientes
1,Aguascalientes,1002,Asientos
1,Aguascalientes,1003,Calvillo
1,Aguascalientes,1004,Cosío
1,Aguascalientes,1005,Jesús María
1,Aguascalientes,1006,Pabellón de Arteaga
1,Aguascalientes,1007,Rincón de Romos
1,Aguascalientes,1008,San José de Gracia
1,Aguascalientes,1009,Tepezalá
1,Aguascalientes,1010,El Llano
1,Aguascalientes,1011,San Francisco de los Romo
2,Baja California,2001,Ensenada
2,Baja California,2002,Mexicali
2,Baja California,2003,Tecate
2,Baja California,2004,Tijuana
2,Baja California,2005,Playas de Rosarito
2,Baja California,2006,San Quintín
3,Baja California Sur,3001,Comondú
3,Baja California Sur,3002,Mulegé
3,Baja California Sur,3003,La Paz
3,Baja California Sur,3008,Los Cabos
3,Baja California Sur,3009,Loreto
4,Campeche,4001,Calkiní
4,Campeche,4002,Campeche
4,Campeche,4003,Carmen
4,Campeche,4004,Champotón
4,Campeche,4005,Hecelchakán
4,Campeche,4006,Hopelchén
4,Campeche,4007,Palizada
4,Campeche,4008,Tenabo
4,Campeche,4009,Escárcega
4,Campeche,4010,Calakmul
4,Campeche,4011,Candelaria
4,Campeche,4012,Seybaplaya
5,Coahuila de Zaragoza,5001,Abasolo
5,Coahuila de Zaragoza,5002,Acuña
5,Coahuila de Zaragoza,5003,Allende
5,Coahuila de Zaragoza,5004,Arteaga
5,Coahuila de Zaragoza,5005,Candela
5,Coahuila de Zaragoza,5006,Castaños
5,Coahuila de Zaragoza,5007,Cuatro Ciénegas
5,Coahuila de Zaragoza,5008,Escobedo
5,Coahuila de Zaragoza,5009,Francisco I. Madero
5,Coahuila de Zaragoza,5010,Frontera
5,Coahuila de Zaragoza,5011,General Cepeda
5,Coahuila de Zaragoza,5012,Guerrero
5,Coahuila de Zaragoza,5013,Hidalgo
5,Coahuila de Zaragoza,5014,Jiménez
5,Coahuila de Zaragoza,5015,Juárez
5,Coahuila de Zaragoza,5016,Lamadrid
5,Coahuila de Zaragoza,5017,Matamoros
5,Coahuila de Zaragoza,5018,Monclova
5,Coahuila de Zaragoza,5019,Morelos
5,Coahuila de Zaragoza,5020,Múzquiz
5,Coahuila de Zaragoza,5021,Nadadores
5,Coahuila de Zaragoza,5022,Nava
5,Coahuila de Zaragoza,5023,Ocampo
5,Coahuila de Zaragoza,5024,Parras
5,Coahuila de Zaragoza,5025,Piedras Negras
5,Coahuila de Zaragoza,5026,Progreso
5,Coahuila de Zaragoza,5027,Ramos Arizpe
5,Coahuila de Zaragoza,5028,Sabinas
5,Coahuila de Zaragoza,5029,Sacramento
5,Coahuila de Zaragoza,5030,Saltillo
5,Coahuila de Zaragoza,5031,San Buenaventura
5,Coahuila de Zaragoza,5032,San Juan de Sabinas
5,Coahuila de Zaragoza,5033,San Pedro
5,Coahuila de Zaragoza,5034,Sierra Mojada
